x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
2 7 38.714121 -107.071600 0.39 0.23 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 7 38.715280 -107.059841 0.39 0.24 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 7 38.716438 -107.048082 0.26 0.22 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 7 38.717595 -107.036322 0.30 0.23 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7 38.718751 -107.024561 0.25 0.30 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 7 38.719905 -107.012800 0.38 0.20 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
8 7 38.721058 -107.001039 0.42 0.19 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 7 38.722209 -106.989277 0.39 0.24 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
10 7 38.723359 -106.977515 0.39 0.24 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 7 38.724508 -106.965752 0.39 0.24 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 7 38.725656 -106.953989 0.38 0.25 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 7 38.726802 -106.942226 0.40 0.22 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 7 38.727947 -106.930462 0.39 0.23 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 7 38.729090 -106.918698 0.40 0.25 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
16 7 38.730232 -106.906933 0.43 0.24 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
17 7 38.731373 -106.895168 0.37 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
18 7 38.732512 -106.883402 0.38 0.25 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 7 38.733650 -106.871636 0.40 0.23 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 7 38.734787 -106.859869 0.50 0.19 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
21 7 38.735922 -106.848102 0.65 0.14 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
22 7 38.737056 -106.836335 0.52 0.18 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
23 7 38.738189 -106.824567 0.41 0.21 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 7 38.739320 -106.812799 0.64 0.16 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
