date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2018-01-01,,20.01608641,-30.98321854,-6.730736497,-3.994681125,
2018-01-02,,24.76333326,38.27160023,-6.994125446,-4.149277729,
2018-01-03,,30.42824705,-51.79189958,,-6.049147375,
2018-01-04,,18.50074067,70.32983848,-9.341927258,-6.571620302,
2018-01-05,,28.64529912,-63.65425104,-6.20948137,-6.203248833,
2018-01-06,,12.59774705,52.49211854,,-4.715684469,
2018-01-07,,19.83482371,-54.0106925,,-2.305030719,
2018-01-08,,17.35241373,60.77189298,,-2.003474573,
2018-01-09,,19.56476708,-46.56562167,,-1.689769052,
2018-01-10,,8.081157225,70.29681754,,-1.36591299,
2018-01-11,,20.18535643,-42.74155708,-7.339896517,-1.241515073,
2018-01-12,,8.954511122,70.21960521,,-1.523667354,
2018-01-13,,42.44274606,-35.12549167,,-1.673378958,
2018-01-14,,35.58048103,43.25159095,,-2.069538844,
2018-01-15,,17.82519838,3.182844919,-8.059864215,-2.522925188,
2018-01-16,,26.98253633,14.96300727,,-2.654035438,
2018-01-17,,33.22702038,-39.60042896,,-3.235823594,
2018-01-18,,19.10383215,61.11142213,-10.07407606,-3.257298427,
2018-01-19,,8.045524924,-3.025689886,-4.692596482,-2.977027094,
2018-01-20,,7.997660109,-1.734584277,,-2.476279031,
2018-01-21,,3.6908746,-18.16377548,,-1.737268865,
2018-01-22,,25.90390819,18.29944211,,-1.745963406,
2018-01-23,,23.7509226,-59.96565938,,-2.35666299,
2018-01-24,,35.53682614,31.43981021,,-2.912497479,
2018-01-25,,12.33007138,-11.45021586,-8.034556359,-3.124689688,
2018-01-26,,3.751761189,28.20428534,,-2.689932906,
2018-01-27,,22.73123376,-30.49415104,,-2.401192938,
2018-01-28,,26.07231638,73.513605,-8.540245923,-2.739806042,
2018-01-29,,27.56322037,-38.07637021,,-2.625299073,
2018-01-30,,9.928731784,83.84530208,-4.498748477,-2.566742688,
2018-01-31,,-16.60556606,-38.54301625,2.344738512,-2.177334479,
2018-02-01,,14.52392171,47.00590058,2.015917888,-1.522428521,
2018-02-02,,1.375803279,-54.49601792,0.700459344,-1.238163073,
2018-02-03,,-3.106872367,64.72709896,0.999924738,-1.061166894,
2018-02-04,,5.118434124,-42.967395,0.331951018,-0.914413134,
2018-02-05,,0.257777889,56.71981108,,-0.941522677,
2018-02-06,,14.25521981,-37.79451833,,-0.831034436,
2018-02-07,,50.37161839,53.6671725,,-0.98021298,
2018-02-08,,12.83407248,-29.96947375,-6.102942885,-1.495294104,
2018-02-09,,6.729962224,55.2193629,-1.481143755,-1.652493563,
2018-02-10,,-19.45588024,-40.05235271,,-1.305988292,
2018-02-11,,28.14597309,38.82524975,,-1.158317948,
2018-02-12,,-0.388548246,-1.694862614,,-1.61137199,
2018-02-13,,22.18765947,21.53297726,,-1.588651365,
2018-02-14,,3.642801352,-47.10480104,-0.72426739,-1.178985385,
2018-02-15,,6.043506579,50.3229191,,-0.945055946,
2018-02-16,,31.53904087,-22.28602075,,-0.829651933,
2018-02-17,,13.90233316,71.14397229,-5.603827314,-0.811739628,
2018-02-18,28.105177,6.803780383,-39.53235021,-3.471491992,-2.006986368,0.485463273
2018-02-19,13.80705658,-10.40560558,76.98185229,-1.938828864,-1.192655125,0.476981083
2018-02-20,5.498478467,25.62592239,-39.99697813,,-1.033060267,0.12663429
2018-02-21,3.968975579,35.34835328,38.65870267,,-1.006396765,0.062843436
2018-02-22,3.190002864,18.26873787,-16.19139409,,-1.364155146,0.068876511
2018-02-23,6.166168068,21.30519519,20.99720142,,-1.451539604,0.115384512
2018-02-24,4.38707336,12.28704043,-32.62483333,,-1.461044948,0.138926913
2018-02-25,2.125720511,10.29684262,80.44218302,,-1.448366146,0.027538322
2018-02-26,4.745904984,33.9176078,-40.75436208,,-1.371162729,0.10930193
2018-02-27,6.316054403,13.609303,51.97077104,-7.156502735,-1.546475875,0.218195562
2018-02-28,8.426391368,21.09790583,-38.91441146,,-1.591367823,0.266841342
2018-03-01,5.24465384,18.15620307,66.87775056,-7.531268119,-1.500004406,0.181182764
2018-03-02,7.635481995,20.79363168,-37.15171896,-4.217626277,-1.563653427,0.263776747
2018-03-03,7.811274874,7.551902353,58.30573677,-2.766069464,-1.520010031,0.26984972
2018-03-04,13.41468787,15.22622733,-50.40781438,-5.388110879,-1.463002833,0.463426242
2018-03-05,6.15300163,4.01137732,53.50821219,,-1.358510906,0.203705932
2018-03-06,5.805273816,20.62427632,-54.59251,,-1.387279479,0.183837539
2018-03-07,7.246633982,24.47145488,42.18352464,,-1.58467176,0.219050591
2018-03-08,11.60032757,15.51796581,-31.53420227,-3.144035895,-1.766667719,0.400747022
2018-03-09,14.80253888,15.08898101,70.28497058,-0.7309567,-1.625837719,0.511371195
2018-03-10,18.36386902,-3.114730519,-38.59316373,0.751118506,-1.220388791,0.634401553
2018-03-11,7.479196317,18.60627192,65.86907438,-3.72392903,-0.887399402,0.258377674
2018-03-12,10.89748838,27.8480459,-30.89570938,-1.876150093,-0.974958948,0.376466612
2018-03-13,8.166491455,18.74649392,52.22230729,-1.406680412,-0.70712326,0.282121096
2018-03-14,6.209105544,25.16624448,-23.02537273,2.531727396,-0.399008952,0.214500887
2018-03-15,6.069060768,22.83386873,33.22776706,,-0.183879021,0.165983109
2018-03-16,9.994455787,32.74424483,-0.811698165,,0.227144752,0.302111498
2018-03-17,9.218238727,26.60986233,-26.02884959,-3.934844468,0.492035509,0.318454948
2018-03-18,10.62471934,15.25842712,-41.28866688,,0.540329892,0.321163048
2018-03-19,8.721882571,35.77083578,96.72469271,,0.536833266,0.251089782
2018-03-20,9.90464622,34.85761514,-42.12127938,-7.080335272,0.508853348,0.342167706
2018-03-21,5.826466859,17.58046375,64.70407652,-3.359018404,0.470675833,0.201282182
2018-03-22,1.770576925,11.07279523,-37.82109833,,0.439430909,0.050972227
2018-03-23,18.63702881,18.36721965,65.44507223,,0.407823914,0.348745681
2018-03-24,9.47125749,36.6064514,-28.38844208,,0.378965019,0.245396835
2018-03-25,22.2529932,20.90591474,-19.8378533,,0.341650689,0.544535459
2018-03-26,20.29867022,24.3942562,-48.19447563,-0.015150246,0.316501714,0.701241546
2018-03-27,12.99006252,48.60123272,69.20786019,-1.389366371,0.29858619,0.448757058
